,DP,EO,DP ratio,acc,acc_ci_min,acc_ci_max,f1,acc_high_risk,acc_ci_min_high_risk,acc_ci_max_high_risk,f1_high_risk,adversarial_fraction
0,0.3324318701893072,0.19247679531021006,0.5502392344497609,0.7401129943502824,0.7137354045463269,0.766490584154238,0.738233024691358,0.8757062146892656,0.8558636531396067,0.8955487762389245,0.6111055627684011,0.0
1,0.12174210229130145,0.046116267708842223,0.8226201043538504,0.7608286252354048,0.7351724546249853,0.7864847958458244,0.757630103507763,0.8709981167608286,0.850837656341716,0.8911585771799412,0.4864005252697832,0.0
2,0.09975036405242355,0.04504152418172935,0.8519833307609199,0.751412429378531,0.725418453873695,0.7774064048833671,0.7483050847457626,0.871939736346516,0.8518421342410512,0.8920373384519809,0.5061275850749535,0.0027107617240444567
3,0.05513536806442987,0.04846116267708844,0.9179972816778457,0.7372881355932204,0.7108182369151886,0.7637580342712521,0.7329732097233375,0.8728813559322034,0.852846969445884,0.8929157424185228,0.5187682723388258,0.005421523448088913
4,0.02323991797676017,0.022374206155349297,0.9638490164805953,0.7410546139359698,0.7147081090955071,0.7674011187764326,0.7378730966517226,0.8728813559322034,0.852846969445884,0.8929157424185228,0.5302347679352545,0.00813228517213337
5,0.01547594282148057,0.10718124084025404,0.9756320117920941,0.7344632768361582,0.7079024768309505,0.7610240768413659,0.7314767327176545,0.8709981167608286,0.850837656341716,0.8911585771799412,0.5288696615169404,0.010843046896177827
6,0.017786561264822143,0.06008793356130923,0.9707792207792207,0.7297551789077212,0.7030459656403504,0.7564643921750921,0.7280943481228059,0.8728813559322034,0.852846969445884,0.8929157424185228,0.54635919795724,0.013553808620222282
7,0.05555885761835411,0.04162188568637029,0.9114358804301484,0.7335216572504708,0.7069308670896578,0.7601124474112838,0.7317212291624824,0.871939736346516,0.8518421342410512,0.8920373384519809,0.5556321301549405,0.01626457034426674
8,0.011196469434455736,0.10864680019540793,0.9818374651995226,0.7080979284369114,0.6807541161839166,0.7354417406899063,0.7057929880751523,0.8709981167608286,0.850837656341716,0.8911585771799412,0.5548178043504203,0.018975332068311195
9,0.013841421736158543,0.13873961895456766,0.9772023641992683,0.7203389830508474,0.693344299641867,0.7473336664598279,0.7186202835974682,0.876647834274953,0.8568699521334235,0.8964257164164824,0.5743148348168252,0.021686093792355653
10,0.01854438467710784,0.1162677088422081,0.9680679579356752,0.7278719397363466,0.7011044302921987,0.7546394491804944,0.7271924873448381,0.8681732580037664,0.8478263334557775,0.8885201825517554,0.5374564459930313,0.02439685551640011
11,0.024755564801331453,0.07532975085490962,0.9578238525606946,0.731638418079096,0.704988109890637,0.7582887262675551,0.7308631107198591,0.8728813559322034,0.852846969445884,0.8929157424185228,0.5660648617563825,0.027107617240444564
12,0.03994918125352909,0.0666340986809966,0.9317578972751387,0.7184557438794726,0.6914057507348393,0.7455057370241059,0.717855102390792,0.8709981167608286,0.850837656341716,0.8911585771799412,0.5643409599266984,0.029818378964489023
13,0.014725549050491837,0.07278944797264289,0.9743695848959006,0.7175141242937854,0.6904366963207763,0.7445915522667944,0.7169358707820246,0.8738229755178908,0.8538521653492598,0.8937937856865218,0.5522709253596103,0.03252914068853348
14,0.007801123361764084,0.09018075232046899,0.986198012513802,0.7109227871939736,0.6836573817723564,0.7381881926155909,0.7104912876732764,0.8747645951035782,0.8548577254070532,0.8946714648001032,0.5678158246613569,0.035239902412577934
15,0.039362239591072545,0.0804103566194431,0.9318567680197561,0.7222222222222222,0.6952834383366038,0.7491610061078406,0.7218075891323015,0.8738229755178908,0.8538521653492598,0.8937937856865218,0.5669368974583698,0.03795066413662239
16,0.03327736336889664,0.03800683927699072,0.94128596709707,0.7137476459510358,0.6865619352592933,0.7409333566427783,0.7134875135336611,0.8709981167608286,0.850837656341716,0.8911585771799412,0.5596361930416622,0.040661425860666844
17,0.03831466016820706,0.08656570591108939,0.9312684090575896,0.7156308851224106,0.6884990253465859,0.7427627448982352,0.7155299952813621,0.8700564971751412,0.849833532416079,0.8902794619342035,0.549097308539572,0.04337218758471131
18,0.05984576064667596,0.026770884220810948,0.8926443736588877,0.7109227871939736,0.6836573817723564,0.7381881926155909,0.7108917704081588,0.8738229755178908,0.8538521653492598,0.8937937856865218,0.5522709253596103,0.04608294930875576
19,0.042007191892775464,0.1300439667806546,0.9260857060684498,0.7212806026365348,0.6943137950374465,0.7482474102356231,0.7210580117556862,0.8728813559322034,0.852846969445884,0.8929157424185228,0.5564527356257831,0.04879371103280022
20,0.05434782608695654,0.01191988275525159,0.9019607843137255,0.7024482109227872,0.6749514048143261,0.7299450170312483,0.7024218262300663,0.8700564971751412,0.849833532416079,0.8902794619342035,0.5440642110502738,0.05150447275684467
21,0.014056881333769256,0.11265266243282854,0.9739866908650937,0.7080979284369114,0.6807541161839166,0.7354417406899063,0.7080606544293695,0.871939736346516,0.8518421342410512,0.8920373384519809,0.5350322572337329,0.05421523448088913
22,0.05002377485215015,0.09272105520273571,0.911738873959494,0.716572504708098,0.6894677880049681,0.7436772214112278,0.7164153549576435,0.8775894538606404,0.8578766260429197,0.897302281678361,0.5606542769857434,0.056925996204933584
23,0.03881987577639756,0.06917440156326332,0.9279538904899135,0.7156308851224106,0.6884990253465859,0.7427627448982352,0.7156308851224106,0.8700564971751412,0.849833532416079,0.8902794619342035,0.5281944963106997,0.059636757928978046
24,0.03688816903919878,0.08148510014655594,0.9330817440528337,0.7005649717514124,0.6730182879456149,0.7281116555572099,0.7005129260194671,0.8775894538606404,0.8578766260429197,0.897302281678361,0.5704952712792434,0.0623475196530225
25,0.020899580968230858,0.10395701025891549,0.9600613348856359,0.7146892655367232,0.6875304079089115,0.7418481231645349,0.714668773492303,0.8728813559322034,0.852846969445884,0.8929157424185228,0.54635919795724,0.06505828137706696
26,0.04037267080745344,0.08295065950170982,0.925287356321839,0.7146892655367232,0.6875304079089115,0.7418481231645349,0.7146890125664653,0.8728813559322034,0.852846969445884,0.8929157424185228,0.5514683568856505,0.06776904310111141
27,0.020646973164135662,0.07787005373717637,0.9612342544673371,0.7033898305084746,0.675918172330943,0.7308614886860062,0.7033895675195927,0.871939736346516,0.8518421342410512,0.8920373384519809,0.540376782077393,0.07047980482515587
28,0.03919878748254041,0.06047874938935027,0.9253135528439171,0.7109227871939736,0.6836573817723564,0.7381881926155909,0.7108651060331548,0.8700564971751412,0.849833532416079,0.8902794619342035,0.5281944963106997,0.07319056654920032
29,0.04121222027400523,0.057938446507083546,0.9235139197220191,0.724105461393597,0.6972231704982953,0.7509877522888987,0.7241052167721926,0.8709981167608286,0.850837656341716,0.8911585771799412,0.5343223390465217,0.07590132827324478
30,0.06358287021902581,0.057938446507083546,0.8816550045634317,0.7231638418079096,0.6962532300014026,0.7500744536144166,0.7231284916201117,0.871939736346516,0.8518421342410512,0.8920373384519809,0.5239237919440966,0.07861208999728923
31,0.06668846028113767,0.0666340986809966,0.8765880217785843,0.71939736346516,0.6923749516921415,0.7464197752381786,0.719372481697974,0.8747645951035782,0.8548577254070532,0.8946714648001032,0.5426252918376137,0.08132285172133369
32,0.05485304169514693,0.031851489985344414,0.8976076555023924,0.7099811676082862,0.6826894840282809,0.7372728511882916,0.7099554508824698,0.8709981167608286,0.850837656341716,0.8911585771799412,0.5288696615169404,0.08403361344537816
33,0.058211239561353934,0.02569614069369809,0.8900644038782641,0.7099811676082862,0.6826894840282809,0.7372728511882916,0.7098978288633461,0.8728813559322034,0.852846969445884,0.8929157424185228,0.535747476677277,0.08674437516942261
34,0.03189545008766975,0.06555935515388374,0.9397634315059844,0.7146892655367232,0.6875304079089115,0.7418481231645349,0.7146768694665254,0.8662900188323918,0.8458205118736145,0.886759525791169,0.5029204298239831,0.08945513689346707
35,0.046502124877410955,0.063019052271617,0.9106048703849174,0.7071563088512242,0.679786645269131,0.7345259724333173,0.7070188900174308,0.871939736346516,0.8518421342410512,0.8920373384519809,0.5295497185741088,0.09216589861751152
36,0.04507563374840262,0.0941866145578896,0.9122999754260687,0.7128060263653484,0.685593606969103,0.7400184457615938,0.7125917144852321,0.871939736346516,0.8518421342410512,0.8920373384519809,0.5181488203266787,0.09487666034155598
37,0.0538871883265476,0.06555935515388374,0.9005634691051672,0.7203389830508474,0.693344299641867,0.7473336664598279,0.720336751386506,0.8700564971751412,0.849833532416079,0.8902794619342035,0.5226313320825516,0.09758742206560043
38,0.07760260334631047,0.09057156814851001,0.8508176819253017,0.7005649717514124,0.6730182879456149,0.7281116555572099,0.700220496596683,0.8728813559322034,0.852846969445884,0.8929157424185228,0.5245769540692989,0.10029818378964489
39,0.025684269963446138,0.08803126526624329,0.950917893601011,0.7109227871939736,0.6836573817723564,0.7381881926155909,0.7108917704081588,0.8709981167608286,0.850837656341716,0.8911585771799412,0.5175336496851404,0.10300894551368935
40,0.030260929002347725,0.05070835368832438,0.9396655161686936,0.7156308851224106,0.6884990253465859,0.7427627448982352,0.7153037420509378,0.8700564971751412,0.849833532416079,0.8902794619342035,0.516922671237392,0.1057197072377338
41,0.07327855211150408,0.036932095749877866,0.8624157797090127,0.7297551789077212,0.7030459656403504,0.7564643921750921,0.7296494687347825,0.8691148775894538,0.8488297591920525,0.8893999959868552,0.5163157980962991,0.10843046896177826
42,0.024510386638533055,0.08549096238397655,0.9517287798311459,0.7184557438794726,0.6914057507348393,0.7455057370241059,0.7182736455463729,0.8691148775894538,0.8488297591920525,0.8893999959868552,0.49836717356214427,0.11114123068582271
43,0.051792029480816626,0.07933561309233024,0.8967366347193625,0.716572504708098,0.6894677880049681,0.7436772214112278,0.7160627063497773,0.8681732580037664,0.8478263334557775,0.8885201825517554,0.5099215505306876,0.11385199240986717
44,0.02606318166958893,0.045627747923790915,0.9488271676975144,0.7269303201506592,0.7001338897129155,0.7537267505884029,0.7267665512150806,0.871939736346516,0.8518421342410512,0.8920373384519809,0.5181488203266787,0.11656275413391162
45,0.02295759160747718,0.06555935515388374,0.9546481932662108,0.7175141242937854,0.6904366963207763,0.7445915522667944,0.7173176228417297,0.8691148775894538,0.8488297591920525,0.8893999959868552,0.5045095544821985,0.11927351585795609
46,0.026315789473684237,0.059404005862237416,0.9473684210526315,0.71939736346516,0.6923749516921415,0.7464197752381786,0.7190745534145015,0.871939736346516,0.8518421342410512,0.8920373384519809,0.5122188449848024,0.12198427758200055
47,0.028916163927605543,0.07425500732779677,0.9445773524720894,0.7288135593220338,0.7020751221033986,0.7555519965406691,0.7287664235648004,0.8700564971751412,0.849833532416079,0.8902794619342035,0.5050455927051671,0.124695039306045
48,0.061695741329608644,0.045627747923790915,0.8810417442626708,0.7297551789077212,0.7030459656403504,0.7564643921750921,0.7295247155205997,0.8662900188323918,0.8458205118736145,0.886759525791169,0.4778037868609499,0.12740580103008944
49,0.0752102588487028,0.036932095749877866,0.8554166964221952,0.724105461393597,0.6972231704982953,0.7509877522888987,0.7238054746103164,0.871939736346516,0.8518421342410512,0.8920373384519809,0.5061275850749535,0.1301165627541339
50,0.047928616006419233,0.05686370297997069,0.9089497678226136,0.7467043314500942,0.7205476869467776,0.7728609759534107,0.7466394100509509,0.8709981167608286,0.850837656341716,0.8911585771799412,0.5055849120720415,0.13282732447817835
